company_name,company_website,industry,company_size,contact_name,contact_email,contact_title,notes
Russell's Heating Cooling Plumbing & Electric,https://york.dispatch.me/booking/times?externalorganizationid=1237&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 61.2, Tier: GOLD"
Stegall Heating-Cooling-Plumbing-Electrical,http://www.callstegall.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=106305,HVAC/Electrical,Unknown,,,,"ICP Score: 61.2, Tier: GOLD"
Total Energy Management Inc,http://www.teminc.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=9873,HVAC/Electrical,Unknown,,,,"ICP Score: 61.2, Tier: GOLD"
Best Commercial Energy Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.8, Tier: GOLD"
A-Z ELECTRIC CORP,https://www.a-zelectric.biz/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"ARCTIC AIR CONDITIONING, INC.",,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"BLIND & SON, LLC",https://www.comforttoday.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
DON HILLMAN INC,https://donhillmangenerator.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
ECI STANDBY POWER SYSTEMS,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
F.M. GENERATOR INC,https://www.fmgenerator.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
GENERATOR SUPERCENTER OF ORLANDO,https://www.generatorsupercenter.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
I&C ELECTRICAL CONTRACTING SRV LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
IN TOUCH ELECTRIC LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"JAMAC, INC.",,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
NEW PARTNERS COMMUNITY SOLAR,http://www.npsolar.org/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"NORTHEAST GENERATOR, INC.",https://northeastgenerator.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"POWER SOLUTIONS SPECIALIST, LLC",https://www.psstx.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
POWERSMITH,https://www.powersmith.net/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
T.J. MALLEY ELECTRIC INC.,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
BRUNI & CAMPISI PLUMBING & HVAC,https://www.bruniandcampisi.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
CARRIERE HVAC-ELECTRIC INC,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
GEM PLUMBING & HEATING CO LLC,https://askgem.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
MACCARONE PLUMBING INC,https://www.maccaroneplumbing.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.2, Tier: GOLD"
"AA SERVICE CO. HEAT, A/C & PLUMBING",https://www.aaserviceco.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
PRO-TECH A/C & PLUMBING SERVICE,https://protechac.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
"Complete Comfort Services, LLC",,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
Freeman Electrical & Plumbing Service - Cleveland,https://waterandwells.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
GENERATOR REPAIR SERVICE INC,https://www.generatorrepairservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
"JACKSON TOTAL SERVICE, INC.",https://www.jacksontotal.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
JM GENERAL MAINTENANCE SERVICES LLC,https://www.247backuppower.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
Total Energy Service,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
Total Maintenance,,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
"Total Maintenance, Inc. - Bettendorf",,HVAC/Electrical,Unknown,,,,"ICP Score: 60.0, Tier: GOLD"
TOTAL HOME SOLUTIONS LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 59.8, Tier: SILVER"
Bennett Air Conditioning - Hampton,,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
ISAAC HEATING AND AIR CONDITIONING,http://www.isaacheating.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
MID ATLANTIC GENERATORS LLC,,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
"RALCO ELECTRIC, INC.",https://www.ralcoelectric.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
SYSTEMATIC CONTROL CORPORATION,https://www.systemmaticcontrol.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
TEXAS ELITE GENERATORS,https://www.texaselitegenerators.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
ACREE PLUMBING AIR & ELECTRIC,https://trustacree.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
ALL PHASE ELECTRIC CO,https://www.allphaseelectrico.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
ALL TRADES MECHANICAL CONTRACTING,,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
COMPLETE ENVIRONMENTAL SOLUTION LLC,https://completeenvirosolutions.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
COMPLETE POWER RESOURCES,,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
COMPLETE POWER RESOURCES,,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
RAVINIA PLUMBING HEATING & ELECTRIC,https://www.raviniaplumbing.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 58.8, Tier: SILVER"
Aquarius Home Services - Little Canada,https://aquariushomeservices.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 57.2, Tier: SILVER"
